Id,SalePrice
1461,118550.429688
1462,150147.703125
1463,177778.265625
1464,192962.921875
1465,189727.015625
1466,172350.546875
1467,178241.296875
1468,166111.578125
1469,182219.390625
1470,121453.148438
1471,172167.703125
1472,102386.750000
1473,100979.554688
1474,144731.890625
1475,111651.132812
1476,396984.281250
1477,263501.531250
1478,284073.406250
1479,294756.218750
1480,491279.062500
1481,330035.656250
1482,210972.765625
1483,174012.812500
1484,168285.000000
1485,182253.796875
1486,187670.593750
1487,339114.593750
1488,204221.421875
1489,193883.609375
1490,241729.953125
1491,188691.437500
1492,96351.742188
1493,176550.609375
1494,290397.406250
1495,274014.781250
1496,243909.781250
1497,170365.125000
1498,179707.421875
1499,166503.796875
1500,168666.640625
1501,187463.156250
1502,160263.546875
1503,352609.468750
1504,254754.796875
1505,233504.140625
1506,195237.234375
1507,244131.500000
1508,199569.421875
1509,161843.703125
1510,151043.453125
1511,155013.515625
1512,168526.812500
1513,143594.921875
1514,160929.343750
1515,188243.031250
1516,154612.046875
1517,161478.375000
1518,119806.382812
1519,210469.562500
1520,127374.281250
1521,135861.921875
1522,174608.765625
1523,112697.945312
1524,114120.367188
1525,119011.312500
1526,106468.203125
1527,112622.765625
1528,128706.742188
1529,153808.359375
1530,190850.640625
1531,131923.093750
1532,100470.015625
1533,145334.046875
1534,123616.429688
1535,135559.828125
1536,111128.562500
1537,54452.027344
1538,167090.906250
1539,270965.218750
1540,104594.101562
1541,134906.140625
1542,132998.796875
1543,210377.234375
1544,82783.062500
1545,111679.843750
1546,139005.953125
1547,141376.640625
1548,140591.671875
1549,120998.757812
1550,141669.265625
1551,105949.757812
1552,154482.109375
1553,141030.515625
1554,120075.468750
1555,162666.421875
1556,85623.429688
1557,113966.046875
1558,111427.140625
1559,53252.503906
1560,122626.945312
1561,135957.546875
1562,137997.375000
1563,122047.593750
1564,156261.046875
1565,153877.515625
1566,259335.906250
1567,80738.570312
1568,226611.765625
1569,131646.109375
1570,129749.664062
1571,106928.179688
1572,143974.921875
1573,214099.234375
1574,125992.164062
1575,266885.218750
1576,252869.046875
1577,184159.781250
1578,154617.203125
1579,140467.312500
1580,190398.765625
1581,155385.656250
1582,134174.921875
1583,265141.312500
1584,218923.859375
1585,143435.015625
1586,75957.898438
1587,106603.937500
1588,146628.359375
1589,104300.625000
1590,141514.687500
1591,86968.757812
1592,120141.257812
1593,133159.140625
1594,130924.914062
1595,113251.132812
1596,202197.406250
1597,188273.296875
1598,217022.546875
1599,157543.140625
1600,150449.203125
1601,63354.980469
1602,122459.117188
1603,66998.742188
1604,265967.343750
1605,226862.296875
1606,158348.859375
1607,165200.187500
1608,217178.500000
1609,170084.921875
1610,156794.953125
1611,139206.718750
1612,173052.109375
1613,174941.828125
1614,116070.945312
1615,89014.070312
1616,73013.140625
1617,90719.296875
1618,128780.000000
1619,154389.484375
1620,180518.015625
1621,138570.484375
1622,153306.562500
1623,293753.062500
1624,199680.234375
1625,117008.148438
1626,162519.578125
1627,180738.515625
1628,270046.281250
1629,178509.968750
1630,375282.500000
1631,232885.234375
1632,242360.765625
1633,175241.203125
1634,187823.203125
1635,175730.437500
1636,162463.718750
1637,187416.859375
1638,180979.546875
1639,177263.875000
1640,238450.937500
1641,176809.265625
1642,227313.484375
1643,210271.890625
1644,245477.625000
1645,205856.546875
1646,151945.734375
1647,158273.921875
1648,131204.546875
1649,141182.703125
1650,120089.148438
1651,125735.421875
1652,103119.000000
1653,104504.007812
1654,143198.796875
